1;ЦНИИ РТК;;;НИИ;Веденеева 3, Санкт-Петербург;
2;БКЗ Октябрьский;;А.В. Жук;Культурное;Лиговский 6, Санкт-Петербург;
3;СКК;;;Культурное;Пр. Юрия Гагарина 8, Санкт-Петербург;
4;ОКБ Радуга;;;НИИ;Кантемировская 12, Санкт-Петербург;
5;Азимут Отель;;;Гостиница;Лермонтовский пр. 43, Санкт-Петербург;
6;Финляндский вокзал;;;Транспорт;Пл. Ленина 6, Санкт-Петербург;
7;ТЮЗ;1959-1960;А.В. Жук, ;Культурное;Пионерская пл. 1, Санкт-Петербург;
8;Жилые дома на Новосмоленской;;;Жилое;Новосмоленская 2-8, Санкт-Петербург;
9;Дом ЦФТ;;;Жилое;Новосмоленская 1, Санкт-Петербург;
10;Прибалтийская;;;Гостиница;Кораблестроителей 14, Санкт-Петербург;
11;Ленэкспо;;;Общественное;Большой пр. ВО 103, Санкт-Петербург;
12;Морской вокзал;;;Транспорт;Пл. Морской Славы 1, Санкт-Петербург;
13;Детский сад;;;Учебное;Пер Джамбула 8, Санкт-Петербург;
14;Гостиница Русь;;;Гостиница;Артиллерийская 1, Санкт-Петербург;
15;Яхт-Клуб;;;Транспорт;Петровская коса 9, Санкт-Петербург;
16;Леноблисполком;;;Общественное;Суворовский пр. 67, Санкт-Петербург;
17;Дома на площади Победы;;;Жилое;Московский 207 и 224, Санкт-Петербург;
18;Radisson Пулковская;;;Гостиница;Пл. Победы 1, Санкт-Петербург;
19;НИИ Джанелидзе;;;Больница;Будапештская 3 – Фучика 5, Санкт-Петербург;
20;АТП Смольнинское;;;Специальное;Херсонский проезд 2, Санкт-Петербург;
21;5-й Корпус ЛЭТИ;;Н.З. Матусевич, В.И.Левиаш;Учебное;Профессора Попова 3, Санкт-Петербург;
22;ПТУ №147 - Профессиональный лицей Технологии и Дизайна;1983;В.М. Фрайфельд, В.И. Лемехов;Учебное;Звёздная 152, Санкт-Петербург;
23;НИИ Ленгидропроект;;;НИИ;Пр. Испытателей 22, Санкт-Петербург;
24;Российский государственный архив Военно-Морского Флота;1975-2006;;Специальное;Серебристый б. 24 к1, Санкт-Петербург;
25;Санкт-Петербургский государственный морской технический университет;1978;Н.З. Матусевич;Учебное;Ленинский 101а - Маршала Жукова 38, Санкт-Петербург;
26;Государственный университет морского и речного флота имени адмирала С. О. Макарова;1969-1976;Н.И. Кусков;Учебное;Санкт-Петербургское шоссе 43, Санкт-Петербург;
27;ЗАО «Научные приборы»;;;НИИ;Маршала Говорова 52, Санкт-Петербург;
28;Телецентр;;;Специальное;Чапыгина 6, Санкт-Петербург;
29;Ленинградский Дворец Молодежи;;;Специальное;Профессора Попова 47, Санкт-Петербург;
30;Гостиница Санкт-Петербург;1967-1970;С.Б. Сперанский;Гостиница;Пироговская набережная, 5 - Большой Сампсониевский проспект, 2, Санкт-Петербург;
31;ДС Юбилейный;;;Культурное;Добролюбова 18, Санкт-Петербург;
32;Институт цитологии РАН;1980-1985;Д.Х. Еникеев;НИИ;Тихорецкий 4, Санкт-Петербург;
33;Институт Гипроникель;;;НИИ;Гражданский 11, Санкт-Петербург;
34;Новое здание РНБ;;;Специальное;Московский 162 к5, Санкт-Петербург;
35;Паркинг;;;Специальное;Уральская 31, Санкт-Петербург;
36;Гостиница Москва;;;Гостиница;Пл. Александра Невского 2, Санкт-Петербург;
37;Бассейн ВМФ;;;Бассейн;Литовская 3, Санкт-Петербург;
38;СДЮШОР Приморского раона;1982-1986;С.П. Шмаков;Бассейн;Королёва 23, Санкт-Петербург;
