Номер;Название;Годы постройки;Архитектор;Назначение;Адрес;Примечания, комментарии;Lat;Lon
1;ЦНИИ РТК;;;НИИ;Веденеева 3, Санкт-Петербург;;60.021231;30.371555
2;БКЗ Октябрьский;;А.В. Жук;Культурное;Лиговский 6, Санкт-Петербург;;59.935606;30.365383
3;СКК;;;Культурное;Пр. Юрия Гагарина 8, Санкт-Петербург;;59.869115;30.34165
4;ОКБ Радуга;;;НИИ;Кантемировская 12, Санкт-Петербург;;59.983995;30.331139
5;Азимут Отель;;;Гостиница;Лермонтовский пр. 43, Санкт-Петербург;;59.914601;30.296644
6;Финляндский вокзал;;;Транспорт;Пл. Ленина 6, Санкт-Петербург;;59.955737;30.356436
7;ТЮЗ;1959-1960;А.В. Жук, ;Культурное;Пионерская пл. 1, Санкт-Петербург;;59.920018;30.334679
8;Жилые дома на Новосмоленской;;;Жилое;Новосмоленская 2-8, Санкт-Петербург;;59.947086;30.229217
9;Дом ЦФТ;;;Жилое;Новосмоленская 1, Санкт-Петербург;;59.949145;30.230878
10;Прибалтийская;;;Гостиница;Кораблестроителей 14, Санкт-Петербург;;59.93873;30.214385
11;Ленэкспо;;;Общественное;Большой пр. ВО 103, Санкт-Петербург;;59.928374;30.236062
12;Морской вокзал;;;Транспорт;Пл. Морской Славы 1, Санкт-Петербург;;59.925818;30.234876
13;Детский сад;;;Учебное;Пер Джамбула 8, Санкт-Петербург;;59.926039;30.334454
14;Гостиница Русь;;;Гостиница;Артиллерийская 1, Санкт-Петербург;;59.941615;30.351693
15;Яхт-Клуб;;;Транспорт;Петровская коса 9, Санкт-Петербург;;59.964985;30.23952
16;Леноблисполком;;;Общественное;Суворовский пр. 67, Санкт-Петербург;;59.945499;30.389296
17;Дома на площади Победы;;;Жилое;Московский 207 и 224, Санкт-Петербург;;59.844628;30.320081
18;Radisson Пулковская;;;Гостиница;Пл. Победы 1, Санкт-Петербург;;59.842689;30.318518
19;НИИ Джанелидзе;;;Больница;Будапештская 3 – Фучика 5, Санкт-Петербург;;59.872954;30.364503
20;АТП Смольнинское;;;Специальное;Херсонский проезд 2, Санкт-Петербург;;59.928487;30.384338
21;5-й Корпус ЛЭТИ;;Н.З. Матусевич, В.И.Левиаш;Учебное;Профессора Попова 3, Санкт-Петербург;;59.973082;30.325983
22;ПТУ №147 - Профессиональный лицей Технологии и Дизайна;1983;В.М. Фрайфельд, В.И. Лемехов;Учебное;Звёздная 152, Санкт-Петербург;;59.834298;30.35737
23;НИИ Ленгидропроект;;;НИИ;Пр. Испытателей 22, Санкт-Петербург;;60.00545;30.273728
24;Российский государственный архив Военно-Морского Флота;1975-2006;;Специальное;Серебристый б. 24 к1, Санкт-Петербург;;60.008329;30.282064
25;Санкт-Петербургский государственный морской технический университет;1978;Н.З. Матусевич;Учебное;Ленинский 101а - Маршала Жукова 38, Санкт-Петербург;;59.849962;30.220907
26;Государственный университет морского и речного флота имени адмирала С. О. Макарова;1969-1976;Н.И. Кусков;Учебное;Санкт-Петербургское шоссе 43, Санкт-Петербург;;59.852601;30.074536
27;ЗАО «Научные приборы»;;;НИИ;Маршала Говорова 52, Санкт-Петербург;;59.901545;30.289107
28;Телецентр;;;Специальное;Чапыгина 6, Санкт-Петербург;;59.973811;30.308852
29;Ленинградский Дворец Молодежи;;;Специальное;Профессора Попова 47, Санкт-Петербург;;59.971181;30.287068
30;Гостиница Санкт-Петербург;1967-1970;С.Б. Сперанский;Гостиница;Пироговская набережная, 5 - Большой Сампсониевский проспект, 2, Санкт-Петербург;;59.976643;30.338434
31;ДС Юбилейный;;;Культурное;Добролюбова 18, Санкт-Петербург;;59.950582;30.292305
32;Институт цитологии РАН;1980-1985;Д.Х. Еникеев;НИИ;Тихорецкий 4, Санкт-Петербург;;60.010726;30.368024
33;Институт Гипроникель;;;НИИ;Гражданский 11, Санкт-Петербург;;60.000101;30.385856
34;Новое здание РНБ;;;Специальное;Московский 162 к5, Санкт-Петербург;;59.879453;30.320773
35;Паркинг;;;Специальное;Уральская 31, Санкт-Петербург;;59.955584;30.240212
36;Гостиница Москва;;;Гостиница;Пл. Александра Невского 2, Санкт-Петербург;;59.923563;30.383421
37;Бассейн ВМФ;;;Бассейн;Литовская 3, Санкт-Петербург;;59.976909;30.342458
38;СДЮШОР Приморского раона;1982-1986;С.П. Шмаков;Бассейн;Королёва 23, Санкт-Петербург;;60.01271;30.277824
39;Клиническая Больница РАН;1976-1977;И.А. Фабрицкий;Больница;Тореза 72, Санкт-Петербург;;60.014077;30.340446
40;НИИ Точной механики;;;НИИ;Непокоренных 47, Санкт-Петербург;;59.995062;30.382227
41;ЛенНИИГрадостроительства/БЦ Оптима;;;НИИ;Торжковская 5, Санкт-Петербург;;59.987789;30.308583
