1;ЦНИИ РТК;Веденеева 3, Санкт-Петербург
2;БКЗ Октябрьский;Лиговский 6, Санкт-Петербург
3;СКК;Пр. Юрия Гагарина 8 , Санкт-Петербург
4;ОКБ Радуга;Кантемировская 12, Санкт-Петербург
5;Азимут Отель;Лермонтовский пр. 43, Санкт-Петербург
6;Финляндский вокзал;Пл. Ленина 6, Санкт-Петербург
7;ТЮЗ;Пионерская пл. 1, Санкт-Петербург
8;Здания на Новосмоленской;Новосмоленская 2-8, Санкт-Петербург
9;Дом ЦФТ;Новосмоленская 1, Санкт-Петербург
10;Прибалтийская;Кораблестроителей 14, Санкт-Петербург
11;Ленэкспо;Большой пр. ВО 103, Санкт-Петербург
12;Морской вокзал;Пл. Морской Славы 1, Санкт-Петербург
13;Детский сад;Пер Джамбула 8, Санкт-Петербург
14;Гостиница Русь;Артиллерийская 1, Санкт-Петербург
15;Яхт-Клуб;Петровская коса 9, Санкт-Петербург
16;Леноблисполком;Суворовский пр. 67, Санкт-Петербург
17;Дома на площади Победы;Московский 207 и 224, Санкт-Петербург
18;Radisson Пулковская;Пл. Победы 1, Санкт-Петербург
19;НИИ Джанелидзе;Будапештская 3 – Фучика 5, Санкт-Петербург
20;АТП Смольнинское;Херсонский проезд 2, Санкт-Петербург
